1.四则运算题目1    1 - 1 = 
5326.四则运算题目5326    0 + 7 * 4 = 
5327.四则运算题目5327    5 * 5 * 5 * 4 = 
5328.四则运算题目5328    3 / 8 + 8 * 7 = 
5329.四则运算题目5329    6 + 6 + 6 * 5 = 
5330.四则运算题目5330    5 + 5 + 3 / 5 = 
5331.四则运算题目5331    6 + 3 / 8 = 
5332.四则运算题目5332    7 + 3 - 3 - 3 = 
5333.四则运算题目5333    8 * 9 - 7 + 9 = 
5334.四则运算题目5334    3 + 9 - 5 / 5 = 
5335.四则运算题目5335    3 + 6 - 3 + 3 = 
5336.四则运算题目5336    5 * 5 * 5 * 9 = 
5337.四则运算题目5337    1 / 7 * 5 + 5 = 
5338.四则运算题目5338    7 - 6 + 1 * 6 = 
5339.四则运算题目5339    3 - 0 + 3 - 0 = 
5340.四则运算题目5340    6 * 6 * 6 / 6 = 
5341.四则运算题目5341    2 * 1 + 6 / 2 = 
5342.四则运算题目5342    1 * 1 * 8 / 7 = 
5343.四则运算题目5343    7 + 6 / 7 + 7 = 
5344.四则运算题目5344    6 / 3 * 6 / 3 = 
5345.四则运算题目5345    4 * 9 - 9 - 4 = 
5346.四则运算题目5346    3 - 4 / 7 + 9 = 
5347.四则运算题目5347    6 * 5 / 5 / 5 = 
5348.四则运算题目5348    6 / 9 + 9 + 1 = 
5349.四则运算题目5349    6 - 4 * 3 / 8 = 
5350.四则运算题目5350    6 - 7 / 4 + 4 = 
5351.四则运算题目5351    6 + 8 / 8 / 9 = 
5352.四则运算题目5352    1 / 7 * 5 + 1 = 
5353.四则运算题目5353    2 + 1 * 4 - 5 = 
5354.四则运算题目5354    3 + 3 - 1 * 3 = 
5355.四则运算题目5355    2 / 5 * 9 + 9 = 
5356.四则运算题目5356    3 + 3 / 9 - 1 = 
5357.四则运算题目5357    9 + 8 * 1 - 8 = 
5358.四则运算题目5358    1 + 2 * 6 / 9 = 
5359.四则运算题目5359    9 * 8 + 5 = 
5360.四则运算题目5360    4 * 2 / 4 * 4 = 
5361.四则运算题目5361    7 * 4 + 3 / 8 = 
5362.四则运算题目5362    6 + 6 / 7 - 3 = 
5363.四则运算题目5363    7 + 2 / 7 + 2 = 
5364.四则运算题目5364    4 * 5 - 5 - 9 = 
5365.四则运算题目5365    4 / 6 + 4 / 1 = 
5366.四则运算题目5366    7 + 0 * 7 + 6 = 
5367.四则运算题目5367    8 + 6 / 7 = 
5368.四则运算题目5368    8 / 6 + 6 * 8 = 
5369.四则运算题目5369    4 / 1 + 0 - 2 = 
5370.四则运算题目5370    9 - 0 + 9 - 9 = 
5371.四则运算题目5371    8 / 8 / 1 + 7 = 
5372.四则运算题目5372    9 * 9 - 8 + 9 = 
5373.四则运算题目5373    6 / 1 * 3 = 
5374.四则运算题目5374    2 + 2 / 5 * 9 = 
5375.四则运算题目5375    9 - 3 / 6 + 6 = 
5376.四则运算题目5376    2 + 9 - 1 / 2 = 
5377.四则运算题目5377    9 * 3 - 1 = 
5378.四则运算题目5378    6 / 6 / 1 + 1 = 
5379.四则运算题目5379    1 + 5 - 1 + 1 = 
5380.四则运算题目5380    9 - 7 + 7 + 8 = 
5381.四则运算题目5381    0 + 4 - 1 / 4 = 
5382.四则运算题目5382    8 + 2 / 9 - 8 = 
5383.四则运算题目5383    5 * 3 - 8 + 5 = 
5384.四则运算题目5384    7 / 1 + 5 * 7 = 
5385.四则运算题目5385    4 * 5 / 2 - 5 = 
5386.四则运算题目5386    3 * 4 / 4 / 4 = 
5387.四则运算题目5387    9 * 6 - 4 + 4 = 
5388.四则运算题目5388    9 / 6 + 1 = 
5389.四则运算题目5389    8 - 3 + 4 / 3 = 
5390.四则运算题目5390    3 + 9 - 9 - 2 = 
5391.四则运算题目5391    6 - 8 / 4 = 
5392.四则运算题目5392    2 / 9 * 0 + 9 = 
5393.四则运算题目5393    2 * 2 * 8 + 4 = 
5394.四则运算题目5394    4 + 8 - 4 + 0 = 
5395.四则运算题目5395    7 + 9 * 7 + 5 = 
5396.四则运算题目5396    7 / 2 * 6 = 
5397.四则运算题目5397    4 * 4 * 5 - 5 = 
5398.四则运算题目5398    2 * 1 / 9 = 
5399.四则运算题目5399    6 * 4 - 4 - 4 = 
5400.四则运算题目5400    5 - 4 / 5 = 
5401.四则运算题目5401    3 / 5 + 5 - 3 = 
5402.四则运算题目5402    4 * 4 * 8 - 8 = 
5403.四则运算题目5403    7 + 4 / 2 - 7 = 
5404.四则运算题目5404    2 / 9 * 8 = 
5405.四则运算题目5405    1 / 2 * 4 + 3 = 
5406.四则运算题目5406    7 * 3 / 9 + 7 = 
5407.四则运算题目5407    1 + 1 / 5 = 
5408.四则运算题目5408    0 * 4 + 4 + 2 = 
5409.四则运算题目5409    8 + 8 + 4 / 2 = 
5410.四则运算题目5410    6 - 3 + 8 * 8 = 
5411.四则运算题目5411    4 - 4 / 8 * 8 = 
5412.四则运算题目5412    5 + 7 / 4 = 
5413.四则运算题目5413    3 + 2 - 3 + 0 = 
5414.四则运算题目5414    3 * 8 - 9 / 8 = 
5415.四则运算题目5415    8 * 4 - 9 = 
5416.四则运算题目5416    6 - 2 / 7 = 
5417.四则运算题目5417    3 / 3 * 7 + 1 = 
5418.四则运算题目5418    6 + 7 * 6 + 4 = 
5419.四则运算题目5419    8 / 8 / 8 / 6 = 
5420.四则运算题目5420    6 + 9 - 3 / 6 = 
5421.四则运算题目5421    8 * 9 / 8 * 8 = 
5422.四则运算题目5422    5 - 2 * 1 / 2 = 
5423.四则运算题目5423    7 + 7 + 5 - 9 = 
5424.四则运算题目5424    9 + 2 * 5 / 5 = 
5425.四则运算题目5425    7 * 9 / 3 + 3 = 
5426.四则运算题目5426    3 / 5 * 9 - 2 = 
5427.四则运算题目5427    7 * 3 / 6 + 6 = 
5428.四则运算题目5428    1 - 4 / 8 + 1 = 
5429.四则运算题目5429    6 * 6 * 8 - 7 = 
5430.四则运算题目5430    9 / 6 - 9 / 8 = 
5431.四则运算题目5431    3 * 7 - 3 * 4 = 
5432.四则运算题目5432    9 + 1 - 1 - 1 = 
5433.四则运算题目5433    8 / 6 + 8 - 6 = 
5434.四则运算题目5434    3 / 8 + 4 = 
5435.四则运算题目5435    7 * 0 / 6 + 7 = 
5436.四则运算题目5436    7 / 7 / 1 + 1 = 
5437.四则运算题目5437    0 / 3 + 5 - 3 = 
5438.四则运算题目5438    1 - 8 / 8 / 8 = 
5439.四则运算题目5439    9 / 5 + 8 = 
5440.四则运算题目5440    9 / 3 + 5 = 
5441.四则运算题目5441    8 + 3 / 3 / 8 = 
5442.四则运算题目5442    3 + 2 / 2 = 
5443.四则运算题目5443    9 + 7 / 9 + 4 = 
5444.四则运算题目5444    9 - 6 / 5 = 
5445.四则运算题目5445    4 * 4 * 5 + 8 = 
5446.四则运算题目5446    5 / 5 * 5 * 7 = 
5447.四则运算题目5447    2 + 8 / 5 = 
5448.四则运算题目5448    7 + 1 / 8 * 7 = 
5449.四则运算题目5449    8 - 4 + 8 - 4 = 
5450.四则运算题目5450    9 - 4 + 9 * 9 = 
5451.四则运算题目5451    5 * 8 + 1 - 6 = 
5452.四则运算题目5452    7 + 8 * 8 * 6 = 
5453.四则运算题目5453    2 + 2 + 7 - 2 = 
5454.四则运算题目5454    6 + 2 - 6 + 2 = 
5455.四则运算题目5455    9 * 9 * 1 - 3 = 
5456.四则运算题目5456    4 / 4 * 6 + 1 = 
5457.四则运算题目5457    8 - 5 * 8 / 5 = 
5458.四则运算题目5458    6 + 1 - 6 / 7 = 
5459.四则运算题目5459    2 / 1 + 5 * 5 = 
5460.四则运算题目5460    5 + 3 - 9 / 5 = 
5461.四则运算题目5461    2 * 0 + 2 / 8 = 
5462.四则运算题目5462    3 * 3 * 3 * 8 = 
5463.四则运算题目5463    2 - 9 / 6 = 
5464.四则运算题目5464    4 + 4 + 4 - 4 = 
5465.四则运算题目5465    9 / 9 / 8 * 8 = 
5466.四则运算题目5466    6 / 5 - 1 = 
5467.四则运算题目5467    9 + 9 + 3 - 4 = 
5468.四则运算题目5468    7 + 3 / 5 = 
5469.四则运算题目5469    5 + 6 - 5 + 5 = 
5470.四则运算题目5470    0 + 5 - 1 / 1 = 
5471.四则运算题目5471    6 + 6 - 1 * 6 = 
5472.四则运算题目5472    4 / 6 * 8 - 3 = 
5473.四则运算题目5473    7 + 0 / 7 + 2 = 
5474.四则运算题目5474    9 / 5 + 0 - 1 = 
5475.四则运算题目5475    8 - 5 / 8 - 4 = 
5476.四则运算题目5476    7 * 9 / 1 = 
5477.四则运算题目5477    5 + 7 - 7 - 1 = 
5478.四则运算题目5478    7 / 2 + 6 = 
5479.四则运算题目5479    5 + 6 / 5 + 5 = 
5480.四则运算题目5480    9 * 9 + 6 - 9 = 
5481.四则运算题目5481    7 + 4 / 3 = 
5482.四则运算题目5482    8 * 7 + 6 = 
5483.四则运算题目5483    9 - 7 + 7 + 7 = 
5484.四则运算题目5484    1 + 1 + 8 * 7 = 
5485.四则运算题目5485    8 * 8 * 9 - 8 = 
5486.四则运算题目5486    3 / 6 + 6 + 0 = 
5487.四则运算题目5487    1 + 9 / 8 - 0 = 
5488.四则运算题目5488    6 / 6 + 6 + 4 = 
5489.四则运算题目5489    3 / 3 + 3 / 3 = 
5490.四则运算题目5490    6 - 1 + 1 + 6 = 
5491.四则运算题目5491    5 * 5 * 4 / 5 = 
5492.四则运算题目5492    9 + 2 / 1 * 9 = 
5493.四则运算题目5493    4 * 8 / 4 * 3 = 
5494.四则运算题目5494    5 + 8 - 8 - 1 = 
5495.四则运算题目5495    2 / 2 / 4 + 5 = 
5496.四则运算题目5496    8 + 7 / 7 = 
5497.四则运算题目5497    3 + 8 / 4 = 
5498.四则运算题目5498    7 + 5 - 5 - 7 = 
5499.四则运算题目5499    1 * 8 + 7 / 1 = 
5500.四则运算题目5500    6 / 6 / 6 / 5 = 
5501.四则运算题目5501    9 * 2 / 9 * 8 = 
5502.四则运算题目5502    8 / 2 + 2 + 7 = 
5503.四则运算题目5503    8 / 2 + 2 + 8 = 
5504.四则运算题目5504    9 * 4 - 8 + 8 = 
5505.四则运算题目5505    7 * 7 * 6 - 7 = 
5506.四则运算题目5506    1 * 9 + 3 - 1 = 
5507.四则运算题目5507    8 - 6 / 9 = 
5508.四则运算题目5508    5 + 5 + 2 - 5 = 
5509.四则运算题目5509    5 + 7 * 3 - 2 = 
5510.四则运算题目5510    4 * 8 + 7 - 7 = 
5511.四则运算题目5511    0 + 5 - 2 / 6 = 
5512.四则运算题目5512    7 + 7 + 6 / 9 = 
5513.四则运算题目5513    5 * 6 - 5 / 6 = 
5514.四则运算题目5514    8 - 5 / 6 = 
5515.四则运算题目5515    6 / 6 / 8 * 8 = 
5516.四则运算题目5516    5 - 6 / 6 = 
5517.四则运算题目5517    4 + 6 / 5 - 5 = 
5518.四则运算题目5518    8 * 7 + 1 / 4 = 
5519.四则运算题目5519    5 + 4 * 5 + 5 = 
5520.四则运算题目5520    2 * 7 + 8 / 2 = 
5521.四则运算题目5521    0 * 9 / 9 / 9 = 
5522.四则运算题目5522    6 / 1 + 9 * 9 = 
5523.四则运算题目5523    1 / 8 * 6 + 1 = 
5524.四则运算题目5524    5 / 2 + 5 = 
5525.四则运算题目5525    8 + 7 - 2 / 2 = 
5526.四则运算题目5526    1 + 7 * 6 - 1 = 
5527.四则运算题目5527    2 + 7 * 5 - 7 = 
5528.四则运算题目5528    5 / 6 + 4 * 5 = 
5529.四则运算题目5529    6 / 2 - 6 / 6 = 
5530.四则运算题目5530    4 / 4 / 7 * 3 = 
5531.四则运算题目5531    5 - 9 * 2 / 9 = 
5532.四则运算题目5532    2 / 5 + 8 - 8 = 
5533.四则运算题目5533    6 + 6 * 8 - 8 = 
5534.四则运算题目5534    9 * 9 + 1 / 9 = 
5535.四则运算题目5535    8 * 8 / 8 - 8 = 
5536.四则运算题目5536    9 * 9 * 9 - 2 = 
5537.四则运算题目5537    9 * 2 - 2 - 2 = 
5538.四则运算题目5538    2 - 4 / 2 + 4 = 
5539.四则运算题目5539    7 + 7 + 5 - 5 = 
5540.四则运算题目5540    8 * 2 + 9 / 9 = 
5541.四则运算题目5541    3 - 1 + 8 / 1 = 
5542.四则运算题目5542    6 / 7 * 7 * 6 = 
5543.四则运算题目5543    2 + 9 - 5 * 2 = 
5544.四则运算题目5544    5 * 6 - 6 + 9 = 
5545.四则运算题目5545    7 + 8 * 4 / 8 = 
5546.四则运算题目5546    3 + 3 + 0 / 4 = 
5547.四则运算题目5547    4 * 7 - 7 - 3 = 
5548.四则运算题目5548    8 + 3 - 8 + 8 = 
5549.四则运算题目5549    9 - 4 / 2 = 
5550.四则运算题目5550    6 / 6 + 8 * 6 = 
5551.四则运算题目5551    3 / 5 * 3 + 5 = 
5552.四则运算题目5552    6 - 9 / 5 = 
5553.四则运算题目5553    1 / 1 / 1 + 9 = 
5554.四则运算题目5554    1 / 1 / 1 / 6 = 
5555.四则运算题目5555    9 * 9 * 7 - 7 = 
5556.四则运算题目5556    5 + 9 - 9 - 1 = 
5557.四则运算题目5557    1 + 1 + 9 * 2 = 
5558.四则运算题目5558    7 + 4 / 5 - 5 = 
5559.四则运算题目5559    6 * 9 / 6 * 6 = 
5560.四则运算题目5560    1 / 7 * 7 = 
5561.四则运算题目5561    5 * 5 / 5 = 
5562.四则运算题目5562    6 + 6 - 6 + 1 = 
5563.四则运算题目5563    6 / 3 - 2 + 6 = 
5564.四则运算题目5564    4 / 4 + 5 * 5 = 
5565.四则运算题目5565    3 * 9 + 9 + 9 = 
5566.四则运算题目5566    1 + 5 * 7 - 1 = 
5567.四则运算题目5567    5 + 5 + 6 / 6 = 
5568.四则运算题目5568    7 + 2 * 2 * 2 = 
5569.四则运算题目5569    2 - 1 / 5 * 4 = 
5570.四则运算题目5570    1 - 6 / 6 = 
5571.四则运算题目5571    5 / 6 * 6 * 0 = 
5572.四则运算题目5572    5 * 8 - 9 / 8 = 
5573.四则运算题目5573    3 + 3 + 2 - 8 = 
5574.四则运算题目5574    3 / 3 / 9 + 1 = 
5575.四则运算题目5575    9 * 9 * 9 * 8 = 
5576.四则运算题目5576    3 * 9 - 9 - 9 = 
5577.四则运算题目5577    6 + 3 * 3 * 6 = 
5578.四则运算题目5578    3 * 5 / 4 + 4 = 
5579.四则运算题目5579    5 + 9 * 5 / 4 = 
5580.四则运算题目5580    9 + 3 / 6 * 9 = 
5581.四则运算题目5581    2 + 2 / 2 / 2 = 
5582.四则运算题目5582    4 + 5 - 4 + 5 = 
5583.四则运算题目5583    9 + 4 * 1 - 4 = 
5584.四则运算题目5584    4 * 5 - 7 / 1 = 
5585.四则运算题目5585    5 - 1 / 9 + 1 = 
5586.四则运算题目5586    6 * 5 - 6 * 5 = 
5587.四则运算题目5587    5 * 6 + 6 + 5 = 
5588.四则运算题目5588    3 - 9 / 9 / 8 = 
5589.四则运算题目5589    3 + 2 - 3 + 3 = 
5590.四则运算题目5590    4 + 0 - 2 / 4 = 
5591.四则运算题目5591    5 - 9 / 6 + 4 = 
5592.四则运算题目5592    1 / 4 + 7 - 0 = 
5593.四则运算题目5593    5 / 5 / 9 + 9 = 
5594.四则运算题目5594    9 / 2 + 1 = 
5595.四则运算题目5595    5 / 7 * 7 + 1 = 
5596.四则运算题目5596    1 + 6 * 8 - 8 = 
5597.四则运算题目5597    6 / 9 + 1 * 9 = 
5598.四则运算题目5598    9 + 3 / 9 - 3 = 
5599.四则运算题目5599    1 * 7 + 3 / 7 = 
5600.四则运算题目5600    8 + 4 / 4 - 4 = 
5601.四则运算题目5601    9 - 4 + 3 * 3 = 
5602.四则运算题目5602    6 / 4 - 6 / 6 = 
5603.四则运算题目5603    9 + 1 - 2 / 9 = 
5604.四则运算题目5604    3 + 0 - 3 + 7 = 
5605.四则运算题目5605    9 + 7 - 4 / 7 = 
5606.四则运算题目5606    1 / 1 / 3 * 3 = 
5607.四则运算题目5607    6 - 5 + 5 + 4 = 
5608.四则运算题目5608    1 - 0 / 7 = 
5609.四则运算题目5609    0 + 9 * 9 * 4 = 
5610.四则运算题目5610    7 + 7 - 4 / 2 = 
5611.四则运算题目5611    6 * 9 + 9 - 9 = 
5612.四则运算题目5612    5 * 8 - 5 = 
5613.四则运算题目5613    9 * 9 * 0 + 0 = 
5614.四则运算题目5614    7 - 0 + 0 + 1 = 
5615.四则运算题目5615    9 - 7 / 3 = 
5616.四则运算题目5616    1 / 4 + 1 / 1 = 
5617.四则运算题目5617    9 + 2 - 9 + 5 = 
5618.四则运算题目5618    9 / 7 + 6 - 1 = 
5619.四则运算题目5619    9 - 0 + 3 * 6 = 
5620.四则运算题目5620    2 + 2 + 7 * 6 = 
5621.四则运算题目5621    4 * 5 - 5 / 5 = 
5622.四则运算题目5622    6 * 8 / 6 * 5 = 
5623.四则运算题目5623    5 - 1 * 2 / 1 = 
5624.四则运算题目5624    6 * 7 + 7 + 1 = 
5625.四则运算题目5625    2 + 2 / 2 / 9 = 
5626.四则运算题目5626    5 / 3 * 3 * 8 = 
5627.四则运算题目5627    4 * 1 / 2 + 1 = 
5628.四则运算题目5628    5 + 3 * 5 + 3 = 
5629.四则运算题目5629    7 * 2 / 2 = 
5630.四则运算题目5630    0 + 8 / 8 / 8 = 
5631.四则运算题目5631    3 + 7 - 3 + 0 = 
5632.四则运算题目5632    9 * 6 + 7 - 6 = 
5633.四则运算题目5633    8 / 5 * 0 + 0 = 
5634.四则运算题目5634    2 / 7 + 9 = 
5635.四则运算题目5635    2 * 9 - 3 + 7 = 
5636.四则运算题目5636    6 - 2 / 2 / 9 = 
5637.四则运算题目5637    9 * 9 * 7 / 2 = 
5638.四则运算题目5638    4 * 3 - 0 + 3 = 
5639.四则运算题目5639    7 / 7 / 8 * 2 = 
5640.四则运算题目5640    8 / 9 + 1 * 2 = 
5641.四则运算题目5641    2 / 4 * 0 = 
5642.四则运算题目5642    8 * 3 / 8 * 1 = 
5643.四则运算题目5643    6 / 4 + 8 = 
5644.四则运算题目5644    6 - 3 / 3 / 6 = 
5645.四则运算题目5645    0 - 1 / 3 * 0 = 
5646.四则运算题目5646    8 * 7 + 8 / 8 = 
5647.四则运算题目5647    2 + 7 / 4 = 
5648.四则运算题目5648    4 * 6 - 6 - 0 = 
5649.四则运算题目5649    9 * 2 - 2 - 9 = 
5650.四则运算题目5650    7 + 9 / 2 * 7 = 
5651.四则运算题目5651    0 + 5 / 5 / 8 = 
5652.四则运算题目5652    9 - 2 * 7 / 7 = 
5653.四则运算题目5653    6 - 5 + 8 * 6 = 
5654.四则运算题目5654    6 / 2 - 2 - 1 = 
5655.四则运算题目5655    2 * 2 * 2 / 9 = 
5656.四则运算题目5656    7 + 4 * 2 / 7 = 
5657.四则运算题目5657    1 / 5 * 1 / 8 = 
5658.四则运算题目5658    7 / 7 * 7 / 3 = 
5659.四则运算题目5659    7 + 5 - 5 / 7 = 
5660.四则运算题目5660    7 + 2 / 4 - 2 = 
5661.四则运算题目5661    5 * 9 - 6 / 6 = 
5662.四则运算题目5662    7 * 7 + 2 - 7 = 
5663.四则运算题目5663    5 + 5 + 3 / 3 = 
5664.四则运算题目5664    9 - 5 + 5 + 6 = 
5665.四则运算题目5665    9 / 4 * 9 / 7 = 
5666.四则运算题目5666    5 * 1 - 1 - 2 = 
5667.四则运算题目5667    6 + 9 / 2 = 
5668.四则运算题目5668    1 / 1 / 2 + 2 = 
5669.四则运算题目5669    3 + 3 + 8 / 2 = 
5670.四则运算题目5670    2 + 5 / 2 + 5 = 
5671.四则运算题目5671    6 * 5 - 7 / 7 = 
5672.四则运算题目5672    4 + 5 / 5 / 7 = 
5673.四则运算题目5673    1 * 1 * 3 + 6 = 
5674.四则运算题目5674    7 - 3 * 4 / 4 = 
5675.四则运算题目5675    1 * 1 * 9 - 1 = 
5676.四则运算题目5676    6 * 6 * 9 / 7 = 
5677.四则运算题目5677    2 - 0 * 5 / 5 = 
5678.四则运算题目5678    9 * 9 * 3 - 0 = 
5679.四则运算题目5679    7 - 2 / 6 * 1 = 
5680.四则运算题目5680    3 * 7 - 9 = 
5681.四则运算题目5681    6 * 7 - 1 = 
5682.四则运算题目5682    8 * 6 / 3 + 8 = 
5683.四则运算题目5683    6 / 6 / 2 + 6 = 
5684.四则运算题目5684    3 + 9 / 6 * 6 = 
5685.四则运算题目5685    6 * 6 / 6 = 
5686.四则运算题目5686    1 / 6 + 3 = 
5687.四则运算题目5687    3 + 3 / 5 - 3 = 
5688.四则运算题目5688    2 + 2 + 2 + 1 = 
5689.四则运算题目5689    2 - 2 + 2 + 1 = 
5690.四则运算题目5690    3 / 2 * 0 = 
5691.四则运算题目5691    5 - 3 + 3 + 9 = 
5692.四则运算题目5692    2 + 8 - 3 / 3 = 
5693.四则运算题目5693    6 + 2 * 3 - 6 = 
5694.四则运算题目5694    1 * 5 + 4 / 5 = 
5695.四则运算题目5695    3 + 3 + 9 / 9 = 
5696.四则运算题目5696    3 - 6 * 1 / 6 = 
5697.四则运算题目5697    6 * 6 * 6 * 1 = 
5698.四则运算题目5698    5 * 6 - 6 - 5 = 
5699.四则运算题目5699    3 / 1 + 3 * 3 = 
5700.四则运算题目5700    4 + 4 * 6 - 0 = 
5701.四则运算题目5701    8 * 6 + 0 - 8 = 
5702.四则运算题目5702    6 + 6 + 7 - 6 = 
5703.四则运算题目5703    7 / 7 / 8 = 
5704.四则运算题目5704    9 / 9 / 5 * 8 = 
5705.四则运算题目5705    7 * 6 - 6 - 3 = 
5706.四则运算题目5706    9 - 4 + 9 - 8 = 
5707.四则运算题目5707    8 / 5 * 5 + 8 = 
5708.四则运算题目5708    6 + 4 - 6 + 0 = 
5709.四则运算题目5709    3 - 2 / 4 * 4 = 
5710.四则运算题目5710    2 + 4 / 3 - 3 = 
5711.四则运算题目5711    3 * 3 * 3 / 8 = 
5712.四则运算题目5712    8 + 7 - 4 / 8 = 
5713.四则运算题目5713    6 * 9 - 0 / 9 = 
5714.四则运算题目5714    9 - 9 + 5 * 9 = 
5715.四则运算题目5715    4 + 4 / 8 - 4 = 
5716.四则运算题目5716    5 / 8 * 5 / 3 = 
5717.四则运算题目5717    6 * 6 / 3 + 4 = 
5718.四则运算题目5718    2 * 3 + 5 - 2 = 
5719.四则运算题目5719    6 + 9 / 9 = 
5720.四则运算题目5720    0 + 3 / 6 * 0 = 
5721.四则运算题目5721    5 * 2 - 1 / 9 = 
5722.四则运算题目5722    0 + 6 / 6 - 0 = 
5723.四则运算题目5723    9 * 8 - 8 - 6 = 
5724.四则运算题目5724    1 + 1 + 0 / 2 = 
5725.四则运算题目5725    2 + 2 + 1 / 3 = 
5726.四则运算题目5726    8 * 4 + 8 * 8 = 
5727.四则运算题目5727    1 * 4 / 4 + 4 = 
5728.四则运算题目5728    8 / 8 * 4 - 4 = 
5729.四则运算题目5729    4 / 3 + 4 * 5 = 
5730.四则运算题目5730    2 - 8 / 9 = 
5731.四则运算题目5731    9 + 9 * 4 - 4 = 
5732.四则运算题目5732    4 + 4 / 4 + 2 = 
5733.四则运算题目5733    3 / 4 * 7 - 4 = 
5734.四则运算题目5734    1 * 7 / 7 / 5 = 
5735.四则运算题目5735    9 - 4 / 4 / 4 = 
5736.四则运算题目5736    0 + 5 * 6 / 5 = 
5737.四则运算题目5737    9 + 2 - 3 / 2 = 
5738.四则运算题目5738    7 + 1 * 7 + 7 = 
5739.四则运算题目5739    7 - 3 + 9 * 3 = 
5740.四则运算题目5740    3 + 6 - 6 - 2 = 
5741.四则运算题目5741    3 - 9 / 7 + 3 = 
5742.四则运算题目5742    4 / 4 / 4 / 7 = 
5743.四则运算题目5743    6 + 7 / 6 + 4 = 
5744.四则运算题目5744    5 - 4 / 4 / 5 = 
5745.四则运算题目5745    8 + 4 / 4 / 9 = 
5746.四则运算题目5746    1 / 8 * 8 - 0 = 
5747.四则运算题目5747    1 / 4 * 2 = 
5748.四则运算题目5748    7 * 1 / 9 = 
5749.四则运算题目5749    2 + 6 / 3 = 
5750.四则运算题目5750    7 * 8 - 4 = 
5751.四则运算题目5751    9 - 8 + 4 * 8 = 
5752.四则运算题目5752    8 * 6 + 8 * 3 = 
5753.四则运算题目5753    4 / 8 + 8 + 6 = 
5754.四则运算题目5754    4 * 6 / 4 * 4 = 
5755.四则运算题目5755    2 / 3 - 0 + 3 = 
5756.四则运算题目5756    4 + 0 / 5 * 5 = 
5757.四则运算题目5757    9 + 6 * 3 / 6 = 
5758.四则运算题目5758    7 - 1 + 1 + 9 = 
5759.四则运算题目5759    1 - 3 / 3 + 3 = 
5760.四则运算题目5760    6 * 9 - 9 - 5 = 
5761.四则运算题目5761    8 * 7 / 8 + 8 = 
5762.四则运算题目5762    7 - 3 / 4 = 
5763.四则运算题目5763    3 * 3 - 4 + 0 = 
5764.四则运算题目5764    5 + 5 / 4 - 1 = 
5765.四则运算题目5765    0 / 8 - 0 + 8 = 
5766.四则运算题目5766    4 + 7 * 9 / 4 = 
5767.四则运算题目5767    5 / 7 * 5 / 4 = 
5768.四则运算题目5768    9 / 7 + 8 * 7 = 
5769.四则运算题目5769    8 + 8 + 8 / 8 = 
5770.四则运算题目5770    1 + 7 * 5 / 5 = 
5771.四则运算题目5771    5 * 5 + 9 - 5 = 
5772.四则运算题目5772    5 * 9 + 9 + 0 = 
5773.四则运算题目5773    6 / 6 + 6 / 4 = 
5774.四则运算题目5774    4 + 4 + 5 * 4 = 
5775.四则运算题目5775    6 * 1 / 3 = 
5776.四则运算题目5776    2 + 4 * 4 * 4 = 
5777.四则运算题目5777    9 - 3 / 9 + 9 = 
5778.四则运算题目5778    1 / 4 + 4 + 1 = 
5779.四则运算题目5779    2 + 2 + 1 - 3 = 
5780.四则运算题目5780    7 * 2 / 3 + 2 = 
5781.四则运算题目5781    5 - 7 / 8 = 
5782.四则运算题目5782    6 + 6 + 7 - 8 = 
5783.四则运算题目5783    1 / 1 / 7 + 1 = 
5784.四则运算题目5784    4 + 8 / 8 / 9 = 
5785.四则运算题目5785    5 + 8 / 5 + 5 = 
5786.四则运算题目5786    9 * 9 - 4 / 4 = 
5787.四则运算题目5787    6 + 3 - 6 + 0 = 
5788.四则运算题目5788    7 - 4 + 7 - 4 = 
5789.四则运算题目5789    4 - 5 / 9 + 9 = 
5790.四则运算题目5790    9 / 9 / 2 * 3 = 
5791.四则运算题目5791    9 + 4 / 5 - 5 = 
5792.四则运算题目5792    9 * 3 + 7 - 7 = 
5793.四则运算题目5793    7 * 9 - 7 * 8 = 
5794.四则运算题目5794    5 / 1 * 1 * 5 = 
5795.四则运算题目5795    7 + 2 * 8 - 2 = 
5796.四则运算题目5796    6 * 6 + 9 - 6 = 
5797.四则运算题目5797    2 - 9 / 7 + 7 = 
5798.四则运算题目5798    4 / 8 + 4 / 4 = 
5799.四则运算题目5799    3 + 3 + 1 * 1 = 
5800.四则运算题目5800    4 / 5 * 0 + 5 = 
5801.四则运算题目5801    6 / 2 + 6 / 6 = 
5802.四则运算题目5802    8 * 1 + 1 + 0 = 
5803.四则运算题目5803    6 / 6 / 1 * 6 = 
5804.四则运算题目5804    4 * 5 / 3 = 
5805.四则运算题目5805    6 + 3 - 3 - 6 = 
5806.四则运算题目5806    9 + 9 + 1 - 1 = 
5807.四则运算题目5807    5 * 9 - 4 = 
5808.四则运算题目5808    3 + 6 / 5 * 1 = 
5809.四则运算题目5809    8 + 3 * 3 / 7 = 
5810.四则运算题目5810    8 * 3 - 3 - 1 = 
5811.四则运算题目5811    7 + 9 / 4 - 4 = 
5812.四则运算题目5812    2 + 2 + 7 * 7 = 
5813.四则运算题目5813    7 * 7 + 7 * 6 = 
5814.四则运算题目5814    8 / 8 / 1 - 1 = 
5815.四则运算题目5815    1 - 3 / 3 / 3 = 
5816.四则运算题目5816    9 * 9 * 3 + 5 = 
